"","idnum","question","replaced","Age","female","RBlack","RWhite","RHispanic","RNative","RAsian","RPacific","ROther","Educ","Inc","Home1","Home2","Spiritual","UrbRur","Region","Condition","event","overall_deflection","actor_deflection","behavior_deflection","object_deflection","abo","a_bo","ab_o"
"63",160,"replaced2","B",23,0,0,1,0,0,0,0,0,5,6,1,2,4,2,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"64",163,"replaced2","B",20,0,0,1,0,0,0,0,0,3,1,1,2,4,4,6,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"65",170,"replaced2","O",19,1,0,0,1,0,0,0,0,3,2,2,2,2,1,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"66",186,"replaced2","O",45,1,0,1,0,0,0,0,0,5,4,1,2,2,1,6,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"67",211,"replaced2","A",48,1,0,1,0,0,0,0,0,2,3,1,2,3,1,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"68",216,"replaced2","B",41,0,0,1,0,0,0,0,0,5,7,1,1,4,1,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"69",223,"replaced2","B",31,1,0,1,0,0,0,0,0,5,1,1,2,1,3,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"70",230,"replaced2","O",60,1,0,1,0,0,0,0,0,3,1,2,2,1,2,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"71",234,"replaced2","B",29,1,0,1,0,0,0,0,0,3,4,1,2,4,4,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"72",242,"replaced2","B",58,1,0,0,0,0,1,0,0,5,6,1,2,3,2,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"73",244,"replaced2","O",32,1,0,1,0,0,0,0,0,3,5,1,2,1,2,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"74",260,"replaced2","B",33,1,0,1,0,0,0,0,0,5,-99,1,2,2,2,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"75",263,"replaced2","O",22,1,0,0,1,0,0,0,0,3,3,2,2,4,1,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"76",275,"replaced2","B",29,1,0,1,0,0,0,0,0,5,5,1,2,1,5,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"77",3,"replaced3","B",30,0,1,0,0,0,0,0,0,5,6,1,2,4,1,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"78",11,"replaced3","B",27,0,0,1,0,0,0,0,0,3,8,1,1,4,5,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"79",22,"replaced3","B",22,0,0,1,0,0,0,0,0,3,6,2,2,2,1,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"80",29,"replaced3","B",34,0,0,1,0,0,0,0,0,3,3,1,2,1,3,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"81",39,"replaced3","B",23,0,0,0,1,0,0,0,0,5,5,2,2,4,5,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"82",40,"replaced3","B",29,1,0,1,0,0,1,0,0,4,6,1,2,2,1,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"83",50,"replaced3","B",27,1,0,1,0,0,0,0,0,6,5,1,2,4,3,9,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"84",59,"replaced3","O",46,1,0,1,0,0,0,0,0,6,1,1,2,4,4,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"85",86,"replaced3","A",25,0,0,1,0,0,0,0,0,5,5,1,2,1,2,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"86",88,"replaced3","B",19,0,0,1,0,0,0,0,0,3,6,2,2,4,5,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"87",96,"replaced3","B",33,0,0,1,0,0,0,0,0,4,4,1,2,3,1,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"88",99,"replaced3","B",24,1,0,1,0,0,0,0,0,3,3,1,2,3,4,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"89",117,"replaced3","B",32,0,0,1,0,0,0,0,0,5,7,1,1,2,3,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"90",119,"replaced3","B",31,0,0,1,0,0,0,0,0,2,7,1,2,4,3,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"91",123,"replaced3","B",26,1,0,1,0,0,0,0,0,3,3,2,2,2,4,3,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"92",130,"replaced3","B",22,0,0,0,0,0,1,0,0,3,1,1,2,4,2,6,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"93",134,"replaced3","B",34,0,0,1,0,0,0,0,0,5,4,2,2,4,5,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"94",136,"replaced3","B",23,0,0,0,0,0,1,0,0,3,2,1,2,4,5,6,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"95",141,"replaced3","B",46,0,0,1,0,0,0,0,0,3,5,1,2,2,4,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"96",143,"replaced3","B",23,0,0,0,0,0,1,0,0,5,8,1,2,1,2,3,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"97",145,"replaced3","O",37,1,0,1,0,0,0,0,0,4,4,1,2,2,4,3,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"98",146,"replaced3","B",49,1,0,1,0,0,0,0,0,5,5,1,2,3,2,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"99",148,"replaced3","B",29,1,0,0,0,0,1,0,0,6,2,1,2,4,1,6,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"100",150,"replaced3","B",34,1,0,1,0,0,0,0,0,5,7,1,2,4,4,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"101",160,"replaced3","B",23,0,0,1,0,0,0,0,0,5,6,1,2,4,2,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"102",163,"replaced3","B",20,0,0,1,0,0,0,0,0,3,1,1,2,4,4,6,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"103",170,"replaced3","B",19,1,0,0,1,0,0,0,0,3,2,2,2,2,1,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"104",186,"replaced3","B",45,1,0,1,0,0,0,0,0,5,4,1,2,2,1,6,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"105",211,"replaced3","B",48,1,0,1,0,0,0,0,0,2,3,1,2,3,1,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"106",216,"replaced3","B",41,0,0,1,0,0,0,0,0,5,7,1,1,4,1,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"107",223,"replaced3","B",31,1,0,1,0,0,0,0,0,5,1,1,2,1,3,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"108",230,"replaced3","B",60,1,0,1,0,0,0,0,0,3,1,2,2,1,2,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"109",234,"replaced3","B",29,1,0,1,0,0,0,0,0,3,4,1,2,4,4,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"110",242,"replaced3","B",58,1,0,0,0,0,1,0,0,5,6,1,2,3,2,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"111",244,"replaced3","B",32,1,0,1,0,0,0,0,0,3,5,1,2,1,2,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"112",260,"replaced3","B",33,1,0,1,0,0,0,0,0,5,-99,1,2,2,2,7,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"113",263,"replaced3","B",22,1,0,0,1,0,0,0,0,3,3,2,2,4,1,2,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"114",275,"replaced3","B",29,1,0,1,0,0,0,0,0,5,5,1,2,1,5,5,1,"bouncer guided drunk",3.23,1.26,1.57,0.4,NA,1,NA
"115",3,"replaced4","O",30,0,1,0,0,0,0,0,0,5,6,1,2,4,1,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"116",11,"replaced4","B",27,0,0,1,0,0,0,0,0,3,8,1,1,4,5,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"117",22,"replaced4","O",22,0,0,1,0,0,0,0,0,3,6,2,2,2,1,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"118",29,"replaced4","A",34,0,0,1,0,0,0,0,0,3,3,1,2,1,3,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"119",39,"replaced4","O",23,0,0,0,1,0,0,0,0,5,5,2,2,4,5,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"120",40,"replaced4","A",29,1,0,1,0,0,1,0,0,4,6,1,2,2,1,2,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"121",50,"replaced4","A",27,1,0,1,0,0,0,0,0,6,5,1,2,4,3,9,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"122",59,"replaced4","O",46,1,0,1,0,0,0,0,0,6,1,1,2,4,4,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"123",86,"replaced4","O",25,0,0,1,0,0,0,0,0,5,5,1,2,1,2,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"124",88,"replaced4","A",19,0,0,1,0,0,0,0,0,3,6,2,2,4,5,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"125",96,"replaced4","B",33,0,0,1,0,0,0,0,0,4,4,1,2,3,1,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"126",99,"replaced4","O",24,1,0,1,0,0,0,0,0,3,3,1,2,3,4,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"127",117,"replaced4","B",32,0,0,1,0,0,0,0,0,5,7,1,1,2,3,2,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"128",119,"replaced4","B",31,0,0,1,0,0,0,0,0,2,7,1,2,4,3,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"129",123,"replaced4","B",26,1,0,1,0,0,0,0,0,3,3,2,2,2,4,3,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"130",130,"replaced4","B",22,0,0,0,0,0,1,0,0,3,1,1,2,4,2,6,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"131",134,"replaced4","B",34,0,0,1,0,0,0,0,0,5,4,2,2,4,5,2,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"132",136,"replaced4","O",23,0,0,0,0,0,1,0,0,3,2,1,2,4,5,6,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"133",141,"replaced4","B",46,0,0,1,0,0,0,0,0,3,5,1,2,2,4,2,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"134",143,"replaced4","O",23,0,0,0,0,0,1,0,0,5,8,1,2,1,2,3,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"135",145,"replaced4","B",37,1,0,1,0,0,0,0,0,4,4,1,2,2,4,3,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"136",146,"replaced4","B",49,1,0,1,0,0,0,0,0,5,5,1,2,3,2,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"137",148,"replaced4","A",29,1,0,0,0,0,1,0,0,6,2,1,2,4,1,6,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"138",150,"replaced4","B",34,1,0,1,0,0,0,0,0,5,7,1,2,4,4,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"139",160,"replaced4","A",23,0,0,1,0,0,0,0,0,5,6,1,2,4,2,7,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"140",163,"replaced4","O",20,0,0,1,0,0,0,0,0,3,1,1,2,4,4,6,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"141",170,"replaced4","O",19,1,0,0,1,0,0,0,0,3,2,2,2,2,1,5,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
"142",186,"replaced4","O",45,1,0,1,0,0,0,0,0,5,4,1,2,2,1,6,1,"playboy hoodwinked tightwad",2.37,1.07,0.68,0.62,1,NA,NA
